"PROD_ID","CUST_ID","TIME_ID","CHANNEL_ID","PROMO_ID","QUANTITY_SOLD","AMOUNT_SOLD","LAST_UPDATE_DATE"
24,24560,31-JAN-02,4,999,1,62.29,
32,1472,31-JAN-02,4,999,1,68.84,
32,1478,31-JAN-02,4,999,1,68.84,
32,3973,31-JAN-02,4,999,1,68.84,
32,4388,31-JAN-02,4,999,1,68.84,
32,5745,31-JAN-02,4,999,1,68.84,
32,6759,31-JAN-02,4,999,1,68.84,
32,7636,31-JAN-02,4,999,1,68.84,
32,8637,31-JAN-02,4,999,1,68.84,
32,9164,31-JAN-02,4,999,1,68.84,
32,11390,31-JAN-02,4,999,1,68.84,
25,1121,31-JAN-02,4,999,1,112.45,
25,10007,31-JAN-02,4,999,1,112.45,
26,1492,31-JAN-02,4,999,1,149.41,
26,5479,31-JAN-02,4,999,1,149.41,
26,9164,31-JAN-02,4,999,1,149.41,
26,27834,31-JAN-02,4,999,1,149.41,
144,4958,31-JAN-02,3,999,1,7.87,
118,11803,31-JAN-02,4,999,1,16.83,
118,29394,31-JAN-02,4,999,1,16.83,
114,32,31-JAN-02,4,999,1,19.05,
114,490,31-JAN-02,4,999,1,19.05,
114,3464,31-JAN-02,4,999,1,19.05,
114,5622,31-JAN-02,4,999,1,19.05,
114,11803,31-JAN-02,4,999,1,19.05,
114,29394,31-JAN-02,4,999,1,19.05,
23,2346,31-JAN-02,4,999,1,20.8,
23,3006,31-JAN-02,4,999,1,20.8,
23,3667,31-JAN-02,4,999,1,20.8,
23,4533,31-JAN-02,4,999,1,20.8,
23,10007,31-JAN-02,4,999,1,20.8,
46,817,31-JAN-02,4,999,1,24.52,
46,1318,31-JAN-02,4,999,1,24.52,
46,1466,31-JAN-02,4,999,1,24.52,
46,1472,31-JAN-02,4,999,1,24.52,
46,1478,31-JAN-02,4,999,1,24.52,
46,3973,31-JAN-02,4,999,1,24.52,
46,5745,31-JAN-02,4,999,1,24.52,
46,7636,31-JAN-02,4,999,1,24.52,
46,8637,31-JAN-02,4,999,1,24.52,
46,9164,31-JAN-02,4,999,1,24.52,
46,11390,31-JAN-02,4,999,1,24.52,
47,1478,31-JAN-02,4,999,1,27.91,
47,1898,31-JAN-02,4,999,1,27.91,
47,5745,31-JAN-02,4,999,1,27.91,
47,8637,31-JAN-02,4,999,1,27.91,
38,1466,31-JAN-02,4,999,1,30.84,
39,11390,31-JAN-02,4,999,1,35.62,
36,11390,31-JAN-02,4,999,1,38.12,
33,1472,31-JAN-02,4,999,1,45.01,
33,1478,31-JAN-02,4,999,1,45.01,
33,3042,31-JAN-02,4,999,1,45.01,
33,3688,31-JAN-02,4,999,1,45.01,
33,3973,31-JAN-02,4,999,1,45.01,
33,5745,31-JAN-02,4,999,1,45.01,
33,11390,31-JAN-02,4,999,1,45.01,
